28mini,H-PP-PH-P,localrec_in_28_02.pdb_1.pdb
28mini,H-PP-PH-P,localrec_in_28_04.pdb_1.pdb
28mini,H-PP-PH-P,localrec_in_28_06.pdb_1.pdb
28mini,H-PP-PH-P,localrec_in_28_07.pdb_2.pdb
28mini,H-PP-PH-P,localrec_in_28_09.pdb_2.pdb
28mini,H-PP-PH-P,localrec_in_28_11.pdb_2.pdb
28mini,H-PP-PH-P,localrec_in_28_19.pdb_3.pdb
28mini,H-PP-PH-P,localrec_in_28_20.pdb_3.pdb
28mini,H-PP-PH-P,localrec_in_28_21.pdb_3.pdb
28mini,H-PP-PH-P,localrec_in_28_22.pdb_2.pdb
28mini,H-PP-PH-P,localrec_in_28_23.pdb_2.pdb
28mini,H-PP-PH-P,localrec_in_28_24.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_01.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_03.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_05.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_13.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_14.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_15.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_16.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_17.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_18.pdb_1.pdb
28mini,H-PP-PP-H,localrec_in_28_25.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_26.pdb_2.pdb
28mini,H-PP-PP-H,localrec_in_28_27.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_01.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_02.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_03.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_04.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_05.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_06.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_07.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_09.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_11.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_13.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_14.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_15.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_16.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_17.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_18.pdb_2.pdb
28mini,P-HP-HP-P,localrec_in_28_19.pdb_1.pdb
28mini,P-HP-HP-P,localrec_in_28_20.pdb_1.pdb
28mini,P-HP-HP-P,localrec_in_28_21.pdb_1.pdb
28mini,P-HP-HP-P,localrec_in_28_22.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_23.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_24.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_25.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_26.pdb_3.pdb
28mini,P-HP-HP-P,localrec_in_28_27.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_01.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_03.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_05.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_13.pdb_1.pdb
28mini,P-PH-PP-H,localrec_in_28_14.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_15.pdb_1.pdb
28mini,P-PH-PP-H,localrec_in_28_16.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_17.pdb_1.pdb
28mini,P-PH-PP-H,localrec_in_28_18.pdb_3.pdb
28mini,P-PH-PP-H,localrec_in_28_25.pdb_1.pdb
28mini,P-PH-PP-H,localrec_in_28_26.pdb_1.pdb
28mini,P-PH-PP-H,localrec_in_28_27.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_02.pdb_3.pdb
28mini,P-PH-PP-P,localrec_in_28_04.pdb_3.pdb
28mini,P-PH-PP-P,localrec_in_28_06.pdb_3.pdb
28mini,P-PH-PP-P,localrec_in_28_07.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_09.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_11.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_19.pdb_2.pdb
28mini,P-PH-PP-P,localrec_in_28_20.pdb_2.pdb
28mini,P-PH-PP-P,localrec_in_28_21.pdb_2.pdb
28mini,P-PH-PP-P,localrec_in_28_22.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_23.pdb_1.pdb
28mini,P-PH-PP-P,localrec_in_28_24.pdb_1.pdb
28mini,P-PP-PH-P,localrec_in_28_08.pdb_1.pdb
28mini,P-PP-PH-P,localrec_in_28_08.pdb_2.pdb
28mini,P-PP-PH-P,localrec_in_28_08.pdb_3.pdb
28mini,P-PP-PH-P,localrec_in_28_10.pdb_1.pdb
28mini,P-PP-PH-P,localrec_in_28_10.pdb_2.pdb
28mini,P-PP-PH-P,localrec_in_28_10.pdb_3.pdb
28mini,P-PP-PH-P,localrec_in_28_12.pdb_1.pdb
28mini,P-PP-PH-P,localrec_in_28_12.pdb_2.pdb
28mini,P-PP-PH-P,localrec_in_28_12.pdb_3.pdb
28mini,P-PP-PH-P,localrec_in_28_28.pdb_1.pdb
28mini,P-PP-PH-P,localrec_in_28_28.pdb_2.pdb
28mini,P-PP-PH-P,localrec_in_28_28.pdb_3.pdb